id,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Oaks,800000,3,2,2000,"Welcome to this eco-friendly oasis nestled in the heart of Green Oaks. This charming 3-bedroom, 2-bathroom home boasts energy-efficient features such as solar panels and a well-insulated structure. Natural light floods the living spaces, highlighting the beautiful hardwood floors and eco-conscious finishes. The open-concept kitchen and dining area lead to a spacious backyard with a vegetable garden, perfect for the eco-conscious family. Embrace sustainable living without compromising on style in this Green Oaks gem.","Green Oaks is a close-knit, environmentally-conscious community with access to organic grocery stores, community gardens, and bike paths. Take a stroll through the nearby Green Oaks Park or grab a cup of coffee at the cozy Green Bean Cafe. With easy access to public transportation and bike lanes, commuting is a breeze."
1,Sunnyvale,950000,4,3,2500,"Beautiful 4-bedroom, 3-bathroom home located in the desirable neighborhood of Sunnyvale. This spacious property features a modern kitchen, luxurious bathrooms, and a large backyard perfect for entertaining. Enjoy the convenience of nearby shopping centers, parks, and top-rated schools.","Sunnyvale is known for its family-friendly atmosphere, tree-lined streets, and vibrant community events. Residents can enjoy easy access to Silicon Valley tech companies, as well as outdoor activities at the nearby parks and trails."
2,Downtown Loft District,1200000,2,2,1800,"Luxurious loft living in the heart of the Downtown Loft District. This 2-bedroom, 2-bathroom unit features high ceilings, exposed brick walls, and modern finishes. Enjoy stunning city views from the rooftop terrace and walk to trendy restaurants, bars, and shops.","The Downtown Loft District is a vibrant urban neighborhood with a mix of historic buildings and modern developments. Residents can enjoy a lively nightlife scene, cultural events, and easy access to public transportation."
3,Lakefront Estates,1500000,5,4,3500,"Stunning lakefront property in the prestigious Lakefront Estates community. This 5-bedroom, 4-bathroom home features a gourmet kitchen, private dock, and panoramic views of the water. Relax in the outdoor spa or entertain guests in the spacious backyard.","Lakefront Estates is an exclusive waterfront community known for its luxury homes, private marina, and scenic views. Residents can enjoy boating, fishing, and water sports right in their backyard."
4,Mountain View,1100000,3,2,2200,"Charming 3-bedroom, 2-bathroom home in the desirable neighborhood of Mountain View. This updated property features a gourmet kitchen, hardwood floors, and a beautifully landscaped backyard. Walk to local parks, schools, and downtown shops.","Mountain View is a family-friendly community with top-rated schools, parks, and recreational facilities. Residents can enjoy outdoor activities, cultural events, and easy access to major tech companies in Silicon Valley."
5,Oceanfront Paradise,2000000,4,3,3000,"Experience luxury living in this oceanfront paradise. This 4-bedroom, 3-bathroom home features a gourmet kitchen, private beach access, and breathtaking views of the Pacific Ocean. Relax on the rooftop deck or entertain guests in the outdoor living space.","Oceanfront Paradise is a prestigious coastal community known for its sandy beaches, upscale dining, and outdoor recreation. Residents can enjoy surfing, whale watching, and beachfront dining just steps from their front door."
6,Hillside Retreat,900000,3,2,2300,"Escape to this hillside retreat with stunning views of the valley. This 3-bedroom, 2-bathroom home features a spacious deck, updated kitchen, and cozy fireplace. Enjoy hiking trails, wineries, and local shops just minutes away.","Hillside Retreat is a peaceful mountain community with scenic views, outdoor activities, and a relaxed atmosphere. Residents can enjoy nature walks, birdwatching, and wine tasting in the nearby vineyards."
7,Historic Downtown,800000,2,1,1500,"Quaint 2-bedroom, 1-bathroom home in the historic downtown district. This charming property features original hardwood floors, a cozy fireplace, and a private backyard. Walk to local cafes, shops, and cultural attractions.","Historic Downtown is a vibrant urban neighborhood with a mix of historic homes, trendy boutiques, and cultural landmarks. Residents can enjoy live music, art galleries, and community events in this lively district."
8,Gated Community,1800000,4,3,2800,"Luxury living in a gated community with resort-style amenities. This 4-bedroom, 3-bathroom home features a gourmet kitchen, private pool, and lush landscaping. Enjoy 24-hour security, clubhouse access, and proximity to top-rated schools.","The Gated Community offers a secure and upscale living environment with exclusive amenities such as tennis courts, fitness center, and walking trails. Residents can enjoy a private and tranquil lifestyle in this prestigious neighborhood."
9,Rural Retreat,700000,3,2,1900,"Escape to this peaceful rural retreat surrounded by nature. This 3-bedroom, 2-bathroom home features a wrap-around porch, country kitchen, and expansive backyard. Enjoy gardening, birdwatching, and stargazing in this serene setting.","Rural Retreat is a secluded countryside community with rolling hills, meadows, and wildlife. Residents can enjoy outdoor activities, farm-to-table dining, and a slower pace of life away from the city hustle."
